"site","dti","iter"
"Jenaro Herrera",0.0460873554053205,390
"Jenaro Herrera",0.0132628571249591,391
"Jenaro Herrera",0.001471828686747,392
"Jenaro Herrera",0.0255304697491092,393
"Jenaro Herrera",0.000230357231671752,394
"Jenaro Herrera",0.00684610723889201,395
"Jenaro Herrera",0.000214348028762301,396
"Jenaro Herrera",0.013162594628147,397
"Jenaro Herrera",0.00172221800387973,398
"Jenaro Herrera",0.0190844334602644,399
"Jenaro Herrera",0.0112204448033529,400
"Jenaro Herrera",0.0198645591857403,401
"Jenaro Herrera",0.000249169394648918,402
"Jenaro Herrera",0.00152532829636753,403
"Jenaro Herrera",0.00304614187047525,404
"Jenaro Herrera",0.047798989783155,405
"Jenaro Herrera",0.00218722865917398,406
"Jenaro Herrera",0.00130168649618079,407
"Jenaro Herrera",0.000346534610208726,408
"Jenaro Herrera",0.00635562134062406,409
"Jenaro Herrera",0.00194953227356209,410
"Jenaro Herrera",0.0163595739381587,411
"Jenaro Herrera",0.0148319925666374,412
"Jenaro Herrera",0.0114855410601079,413
"Jenaro Herrera",0.00199172383599122,414
"Jenaro Herrera",0.00562109730942484,415
"Jenaro Herrera",0.0250024631814959,416
"Jenaro Herrera",0.0244514157179218,417
"Jenaro Herrera",0.0211427489377313,418
"Jenaro Herrera",0.0317895197469541,419
"Jenaro Herrera",0.0202501342352562,420
"Jenaro Herrera",0.000921864338696343,421
"Jenaro Herrera",0.0103684495014167,422
"Jenaro Herrera",0.00136221459621699,423
"Jenaro Herrera",0.0169866571474142,424
"Jenaro Herrera",0.0193824749370706,425
"Jenaro Herrera",0.0152055399700158,426
"Jenaro Herrera",0.0118799192773763,427
"Jenaro Herrera",0.0172482087289794,428
"Jenaro Herrera",0.0262328344287237,429
"Jenaro Herrera",0.00822796863927711,430
"Jenaro Herrera",0.000215044001886655,431
"Jenaro Herrera",0.0134031852300276,432
"Jenaro Herrera",0.0204063426016208,433
"Jenaro Herrera",0.000304878175265144,434
"Jenaro Herrera",0.00946952418818425,435
"Jenaro Herrera",0.00411076954693557,436
"Jenaro Herrera",0.00711008481359721,437
"Jenaro Herrera",0.00222383137637561,438
"Jenaro Herrera",0.0171717517654161,439
"Jenaro Herrera",0.0136984150639887,440
"Jenaro Herrera",0.00322951035439845,441
"Jenaro Herrera",0.00174832893440535,442
"Jenaro Herrera",0.0040062486826411,443
"Jenaro Herrera",0.00263729367658871,444
"Jenaro Herrera",0.0200185200975409,445
"Jenaro Herrera",0.00597405978412668,446
"Jenaro Herrera",0.00408639115057186,447
"Jenaro Herrera",0.0101089552675199,448
"Jenaro Herrera",0.0388766345791939,449
"Jenaro Herrera",0.0045951167535393,450
"Jenaro Herrera",0.00608688848661576,451
"Jenaro Herrera",0.0153804409894501,452
"Jenaro Herrera",0.0118594815099734,453
"Jenaro Herrera",0.0279317692109363,454
"Jenaro Herrera",0.00247671310633535,455
"Jenaro Herrera",0.00218338185408928,456
"Jenaro Herrera",0.0165273776568357,457
"Jenaro Herrera",0.000812292815850379,458
"Jenaro Herrera",0.0119458678107701,459
"Jenaro Herrera",0.0353037637892792,460
"Jenaro Herrera",0.00431077058518059,461
"Jenaro Herrera",0.0245556014050676,462
"Jenaro Herrera",0.00617812721533118,463
"Jenaro Herrera",0.0164567101090504,464
"Jenaro Herrera",0.00611685793334604,465
"Jenaro Herrera",0.00512217620238609,466
"Jenaro Herrera",0.00103842503294316,467
"Jenaro Herrera",0.00514596860249616,468
"Jenaro Herrera",0.0149639777308539,469
"Jenaro Herrera",0.00288838902091659,470
"Jenaro Herrera",0.00262656170918674,471
"Jenaro Herrera",0.00281579160460244,472
"Jenaro Herrera",0.00436742151954173,473
"Jenaro Herrera",0.00532627899158866,474
"Jenaro Herrera",0.00365292257627592,475
"Jenaro Herrera",0.0174294335236832,476
"Jenaro Herrera",0.00230217289812007,477
"Jenaro Herrera",0.0126221298685886,478
"Jenaro Herrera",0.00259283974945201,479
"Jenaro Herrera",0.0346483040517559,480
"Jenaro Herrera",0.0205494518114859,481
"Jenaro Herrera",0.00821386383106748,482
"Jenaro Herrera",0.0408359795671981,483
"Jenaro Herrera",0.00770912245973632,484
"Jenaro Herrera",0.0115414307106146,485
"Jenaro Herrera",0.00163657874777223,486
"Jenaro Herrera",0.00595984393123705,487
"Jenaro Herrera",0.0121615368746304,488
"Jenaro Herrera",0.0264423926172841,489
"Jenaro Herrera",0.0134846180631976,490
"Jenaro Herrera",0.011789776572426,491
"Jenaro Herrera",0.0115745350096862,492
"Jenaro Herrera",0.0192051743515227,493
"Jenaro Herrera",0.0275003891257245,494
"Jenaro Herrera",0.0354738608500138,495
"Jenaro Herrera",0.00450278769715828,496
"Jenaro Herrera",0.000825931603722352,497
"Jenaro Herrera",0.00622431850616845,498
"Jenaro Herrera",0.00917186505527567,499
"Jenaro Herrera",0.017681127677904,500
"Jenaro Herrera",0.0146458902768425,501
"Jenaro Herrera",0.00786848038243304,502
"Jenaro Herrera",0.00510321409244885,503
"Jenaro Herrera",0.0277687165479242,504
